Name,Year,Rating,Watchers,Episodes,Ep. Duration,Aired On,Genres,Tags,Main Actors
While You Were Sleeping,2017,8.7,"176,827",32,00:30,"Wednesday, Thursday","Mystery,Romance,Drama,Supernatural","Precognition,Murder,Nice Male Lead,First Love,Investigation,Cheerful Male Lead,Smart Male Lead,Eccentric Female Lead,Comedy,Fated Love","Bae Suzy,Lee Jong Suk,Lee Sang Yeob,Jung Hae In"
Vincenzo,2021,8.9,"171,730",20,1:25,"Saturday, Sunday","Comedy,Law,Crime,Drama","Mafia,Revenge,Slight Romance,Eccentric Female Lead,Smart Male Lead,Injustice,Black Comedy,Badass Male Lead,Skilled Killer,Corruption","Song Joong Ki,Jeon Yeo Been,Ok Taec Yeon"
Boys Over Flowers,2009,7.5,"169,953",25,1:05,"Monday, Tuesday","Comedy,Romance,Youth,Drama","Rich Man/Poor Woman,School Bullying,Love Triangle,Mean Male Lead,Possessive Male Lead,Adapted From A Manga,Reverse-Harem,High School,Disapproving Parent,Male Chases Female First","Gu Hye Seon,Lee Min Ho,Kim Hyun Joong,Kim Bum,Kim Joon"
The Heirs,2013,7.6,"169,096",20,1:00,"Wednesday, Thursday","Comedy,Romance,Drama,Melodrama","High School,Family Pressure,Love Triangle,School Bullying,Rich Male Lead,Rich Man/Poor Woman,Male Chases Female First,Poor Female Lead,Controlling Parent,Sibling Rivalry","Lee Min Ho,Park Shin Hye,Kim Woo Bin"
My Love from the Star,2013,8.5,"164,412",21,0:58,"Wednesday, Thursday","Comedy,Romance,Drama,Supernatural","Interspecies Romance,Sassy Female Lead,Time Manipulation,Superhuman Strength,Star Crossed Lovers,Smart Male Lead,Airhead Female Lead,Rich Male Lead,Spoiled Female Lead,Opposites Attract","Kim Soo Hyun,Jun Ji Hyun,Park Hae Jin,Yoo In Na"
True Beauty,2020,8.3,"162,611",16,1:15,"Wednesday, Thursday","Comedy,Romance,Youth,Drama","Makeover,Beauty,Popular Male Lead,High School,Adapted From A Webtoon,Beauty Standards,Hidden Identity,Nice Female Lead,Transformation,Secret Crush","Mun Ka Young,Cha Eun Woo,Hwang In Youp"
Healer,2014,8.8,"157,401",20,1:00,"Monday, Tuesday","Action,Thriller,Mystery,Romance","Double Identity,Hidden Identity,Smart Male Lead,Badass Male Lead,Hardworking Female Lead,Childish Female Lead,Trauma,Sassy Female Lead,Death,Corruption","Ji Chang Wook,Park Min Young,Yoo Ji Tae"
Squid Game,2021,8.4,"157,565",9,1:00,Friday,"Action,Thriller,Mystery,Drama","Death,Death Game,Poor Male Lead,Debt,Competition,Survival,Murder,Suspense,Friends To Enemies,Massacre","Lee Jung Jae,Park Hae Soo,Jung Ho Yeon,Wi Ha Joon"
Moon Lovers: Scarlet Heart Ryeo,2016,8.7,"156,474",20,1:00,"Monday, Tuesday","Historical,Romance,Fantasy,Melodrama","Goryeo Dynasty,Rivalry,Smart Male Lead,Love/Hate Relationship,Power Struggle,Jealousy,Possessive Male Lead,Secret Relationship,Sibling Rivalry,First Love","Lee Joon Gi,IU,Kang Ha Neul"
Flower of Evil,2020,9.1,"153,200",16,1:10,"Wednesday, Thursday","Thriller,Romance,Crime,Melodrama","Detective Female Lead,Psychological,Family Secret,Mystery,Suspense,Hidden Personality,Antisocial Personality Disorder,Investigation,Detective Fiction,Smart Female Lead","Lee Jon Gi,Moon Chae Won,Jang Hee Jin,Seo Hyun Woo"
Pinocchio,2014,8.3,"151,350",20,0:58,"Wednesday, Thursday","Thriller,Mystery,Comedy,Romance","Hidden Identity,Double Identity,Journalism,Adopted Siblings Love,Cohabitation,Revenge,Wrongfully Accused,Bromance,Misunderstanding,Murder","Lee Jong Suk,Park Shin Hye,Kim Young Kwang,Lee Yoo Bi,Jin Kyung"
Itaewon Class,2020,8.4,"150,987",16,1:10,"Friday, Saturday","Business,Romance,Life,Drama","Revenge,Time Skip,Smart Female Lead,Female Chases Male First,Badass Female Lead,Boss-Employee Relationship,Nice Male Lead,Adapted From A Webtoon,Love Triangle,Hardworking Male Lead","Park Seo Joon,Kim Da Mi,Kwon Na Ra,Yoo Jae Myung"
The Legend of the Blue Sea,2016,8.3,"148,563",20,1:00,"Wednesday, Thursday","Comedy,Romance,Drama,Fantasy","Naive Female Lead,Interspecies Romance,Cohabitation,First Love,Greed,Eccentric Female Lead,Hidden Identity,Fated Love,Mother-Son Relationship,Rich Male Lead","Jun Ji Hyun,Lee Min Ho"
I'm Not a Robot,2017,8.3,"146,959",32,0:35,"Wednesday, Thursday","Comedy,Romance,Drama,Sci-Fi","Haphephobia,Rich Male Lead,Robot,Eccentric Male Lead,Hardworking Female Lead,Double Identity,Healing,Sismance,Hidden Identity,Illness","Yoo Seung Ho,Chae Soo Bin,Uhm Ki Joon"
Fight for My Way,2017,8.5,"146,512",16,1:00,"Monday, Tuesday","Business,Comedy,Romance,Sports","Friends To Lovers,Badass Male Lead,Character Development,First Love,Secondary Couple,Poor Male Lead,Hardworking Male Lead,Life Lesson,Nice Male Lead,Childish Male Lead","Park Seo Joon,Kim Ji Won,Ahn Jae Hong,Song Ha Yoon"
My ID is Gangnam Beauty,2018,7.8,"143,909",16,1:00,"Friday, Saturday","Psychological,Romance,Youth,Drama","Beauty Standards,Nice Female Lead,Male Chases Female First,Plastic Surgery,Nice Male Lead,Adapted From A Webtoon,School Bullying,Age Gap [Real Life],Friends To Lovers,Calm Male Lead","Im Soo Hyang,Cha Eun Woo,Jo Woo Ri,Kwak Dong Yeon"
Her Private Life,2019,8.3,"138,021",16,1:15,"Wednesday, Thursday","Business,Comedy,Romance,Drama","Boss-Employee Relationship,Independent Female Lead,Orphan Male Lead,Smart Male Lead,Calm Male Lead,Sismance,Fan Culture,Eccentric Female Lead,Hidden Personality,Art","Park Min Young,Kim Jae Wook"
Suspicious Partner,2017,8.3,"137,092",40,0:30,"Wednesday, Thursday","Thriller,Comedy,Law,Romance","Cohabitation,Nice Male Lead,Hardworking Female Lead,Smart Male Lead,Nice Female Lead,Wrongfully Accused,Poor Female Lead,Opposites Attract,Bromance,Boss-Employee Relationship","Ji Chang Wook,Nam Ji Hyun,Choi Tae Joon,Kwon Na Ra"
Extraordinary You,2019,8.3,"136,969",32,0:35,"Wednesday, Thursday","Comedy,Romance,Youth,Fantasy","Sassy Female Lead,Nice Male Lead,Adapted From A Webtoon,High School,Illness,Height Difference,Love Triangle,Character Development,Amnesia,Multiple Mains","Kim Hye Yoon,Ro Woon,Lee Jae Wook,Lee Na Eun,Kim Young Dae,Jung Gun Joo,Lee Tae Ri"
Hometown Cha-Cha-Cha,2021,8.7,"132,071",16,1:20,"Saturday, Sunday","Comedy,Romance,Life,Drama","Nice Male Lead,Character Development,Nice Female Lead,Cheerful Male Lead,Hardworking Female Lead,Hardworking Male Lead,Opposites Attract,Confident Female Lead,Smart Female Lead,Healing","Shin Min Ah,Kim Seon Ho,Lee Sang Yi"
Extraordinary Attorney Woo,2022,8.9,"131,188",16,1:10,"Wednesday, Thursday","Law,Romance,Life,Drama","Autistic Female Lead,Autism,Attorney Female Lead,Smart Female Lead,Workplace Setting,Nice Male Lead,Father-Daughter Relationship,Courtroom Setting,Single Mother/Father Supporting Character,Slow Burn Romance","Park Eun Bin,Kang Tae Oh,Kang Ki Young"
Alchemy of Souls,2022,9.1,"129,020",20,1:20,"Saturday, Sunday","Action,Historical,Romance,Fantasy","Transmigration,Master-Disciple Relationship,Hidden Identity,Supernatural,Body Swap,Elemental Power,Fake Identity,Comedy,Master-Servant Relationship,Flashback To Past","Lee Jae Wook,Jung So Min"
Because This Is My First Life,2017,8.4,"124,319",16,1:10,"Monday, Tuesday","Comedy,Romance,Life,Drama","Contract Relationship,Marriage Of Convenience,Eccentric Male Lead,Multiple Couples,Multiple Mains,Cohabitation,Calm Male Lead,Sismance,Nerdy Male Lead,Healing","Jung So Min,Lee Min Ki,Esom,Park Byung Eun,Kim Ga Eun,Kim Min Seok"
Love Alarm,2019,7.1,"123,882",8,0:50,Thursday,"Comedy,Romance,Youth,Drama","Male Chases Female First,Love Triangle,First Love,Trauma,Adapted From A Webtoon,Rich Male Lead,Heartbreak,Bromance,Rich Man/Poor Woman,Suicide","Kim So Hyun,Jung Ga Ram,Song Kang"
Reply 1988,2015,9.1,"123,446",20,1:35,"Friday, Saturday","Comedy,Romance,Life,Youth","Nostalgia,Multiple Couples,Poor Family,Love Triangle,Friendship,High School,Mother-Son Relationship,Coming Of Age,Bromance,Poor Female Lead","Lee Hye Ri,Go Kyung Pyo,Ryu Jun Yeol,Park Bo Gum,Lee Dong Hwi"
The K2,2016,8.2,"120,652",16,1:00,"Friday, Saturday","Action,Thriller,Psychological,Romance","Badass Male Lead,Political,Trauma,Power Struggle,Aggressive Male Lead,Naive Female Lead,Revenge,Suspense,Hardworking Male Lead,Birth Secret","Ji Chang Wook,Im Yoon Ah,Song Yoon Ah,Jo Sung Ha"
Hospital Playlist,2020,9.1,"119,851",12,1:30,Thursday,"Comedy,Life,Drama,Medical","Friendship,Multiple Mains,Slow Romance,Multiple Couples,Healing,Bromance,Slight Romance,Smart Female Lead,Nice Male Lead,Music","Jo Jung Suk,Yoo Yeon Seok,Jung Kyung Ho,Kim Dae Myung,Jeon Mi Do"
Sweet Home,2020,8.7,"119,232",10,0:52,Friday,"Action,Horror,Drama,Sci-Fi","Monster,Survival,Character Development,Gore,Supernatural Phenomena,Trauma,Adapted From A Webtoon,Paranormal,Death,Nice Male Lead","Song Kang,Lee Jin Wook,Lee Si Young,Lee Do Hyun,Kim Nam Hee,Go Min Si,Park Gyu Young,Go Youn Jung,Kim Gab Soo,Kim Sang Ho"
Romance Is a Bonus Book,2019,8.1,"119,071",16,1:02,"Saturday, Sunday","Business,Comedy,Romance,Melodrama","Friends To Lovers,Cohabitation,Successful Male Lead,Smart Male Lead,Nice Male Lead,Slow Burn Romance,Older Woman/Younger Man,Secret Crush,Love Triangle,Boss-Employee Relationship","Lee Na Young,Lee Jong Suk,Jung Eugene,Wi Ha Joon"
"Kill Me, Heal Me",2015,8.7,"118,665",20,1:02,"Wednesday, Thursday","Psychological,Comedy,Romance,Drama","Dissociative Identity Disorder,Trauma,Boss-Employee Relationship,Rich Male Lead,Nice Male Lead,Mean Male Lead,Rich Man/Poor Woman,Psychiatrist Female Lead,Doctor Female Lead,Doctor-Patient Relationship","Ji Sung,Hwang Jung Eum,Park Seo Joon,Kim Yoo Ri,Oh Min Suk"
Cinderella and the Four Knights,2016,7.8,"118,752",16,1:00,"Friday, Saturday","Comedy,Romance,Drama","Cohabitation,Hardworking Female Lead,Reverse-Harem,Rich Male Lead,Rich Man/Poor Woman,Cold Man/Warm Woman,Multiple Mains,Forbidden Love,First Love,Adapted From A Manhwa","Park So Dam,Jung Il Woo,Ahn Jae Hyun,Lee Jung Shin,Choi Shang,Son Na Eun"
She Was Pretty,2015,8,"117,331",16,1:00,"Wednesday, Thursday","Comedy,Romance,Drama","Misunderstanding,Makeover,Hardworking Female Lead,Character Development,Nice Female Lead,Mean Male Lead,Sassy Female Lead,Unrequited Love,First Love,Hidden Identity","Hwang Jung Eum,Park Seo Joon,Go Joon Hee,Choi Si Won"
